algorithm,input,n,ratio
MergeSort,random,1000,0.9572
MergeSort,random,10000,0.9551
MergeSort,random,100000,0.9866
MergeSort,random,1000000,0.9979
MergeSort,sorted,1000,0.4251
MergeSort,sorted,10000,0.4459
MergeSort,sorted,100000,0.4479
MergeSort,sorted,1000000,0.4551
MergeSort,duplicates,1000,0.9400
MergeSort,duplicates,10000,0.9131
MergeSort,duplicates,100000,0.9410
MergeSort,duplicates,1000000,0.9493
QuickSort,random,1000,1.2746
QuickSort,random,10000,1.1707
QuickSort,random,100000,1.2288
QuickSort,random,1000000,1.3186
QuickSort,sorted,1000,1.3117
QuickSort,sorted,10000,1.2308
QuickSort,sorted,100000,1.2358
QuickSort,sorted,1000000,1.2775
QuickSort,duplicates,1000,0.3335
QuickSort,duplicates,10000,0.3001
QuickSort,duplicates,100000,0.1864
QuickSort,duplicates,1000000,0.1605
QuickSelect,random,1000,2.8600
QuickSelect,random,10000,2.9921
QuickSelect,random,100000,2.8627
QuickSelect,random,1000000,3.7822
QuickSelect,sorted,1000,3.7870
QuickSelect,sorted,10000,3.8856
QuickSelect,sorted,100000,3.0179
QuickSelect,sorted,1000000,2.7954
QuickSelect,duplicates,1000,2.5290
QuickSelect,duplicates,10000,2.2022
QuickSelect,duplicates,100000,2.8061
QuickSelect,duplicates,1000000,1.9998
