algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.2485,9539,8
MergeSort,random,10000,1.1735,126913,11
MergeSort,random,100000,7.2544,1638757,14
MergeSort,random,1000000,99.1115,19889604,18
MergeSort,sorted,1000,0.0106,4236,8
MergeSort,sorted,10000,0.1363,59248,11
MergeSort,sorted,100000,1.6510,744016,14
MergeSort,sorted,1000000,19.5942,9071040,18
MergeSort,duplicates,1000,0.0212,9368,8
MergeSort,duplicates,10000,0.3174,121325,11
MergeSort,duplicates,100000,3.5694,1563010,14
MergeSort,duplicates,1000000,39.9585,18920399,18
QuickSort,random,1000,0.1433,12702,7
QuickSort,random,10000,0.7050,155559,9
QuickSort,random,100000,8.2142,2040919,11
QuickSort,random,1000000,95.9593,26281870,14
QuickSort,sorted,1000,0.0352,13072,8
QuickSort,sorted,10000,0.3824,163546,9
QuickSort,sorted,100000,4.2866,2052627,11
QuickSort,sorted,1000000,48.6038,25462802,14
QuickSort,duplicates,1000,0.0158,3324,3
QuickSort,duplicates,10000,0.1351,39870,3
QuickSort,duplicates,100000,1.2980,309582,3
QuickSort,duplicates,1000000,13.3056,3199857,3
QuickSelect,random,1000,0.0103,2860,10
QuickSelect,random,10000,0.0981,29921,19
QuickSelect,random,100000,0.9837,286272,24
QuickSelect,random,1000000,11.5453,3782179,24
QuickSelect,sorted,1000,0.0063,3787,15
QuickSelect,sorted,10000,0.0434,38856,15
QuickSelect,sorted,100000,0.3368,301792,19
QuickSelect,sorted,1000000,3.0783,2795367,30
QuickSelect,duplicates,1000,0.0116,2529,3
QuickSelect,duplicates,10000,0.0843,22022,3
QuickSelect,duplicates,100000,0.8988,280614,5
QuickSelect,duplicates,1000000,7.5478,1999759,4
